NO,주소1,주소2,단지명,전용면적(㎡),평수(전용),계약년월,계약연도,계약월,계약일,거래금액(만원),동,층,건축년도,도로명
12092,석사동,우두동,석사부영,59.76,18.07731865,202304,2023,04,17,13400,102,15,1998,우석로101번길 83
12093,석사동,우두동,현진에버빌2차,126.25,38.19045314,202304,2023,04,16,43800,205,5,2005,지석로 67
12094,석사동,우두동,두산,59.97,18.14084337,202304,2023,04,15,16900,103,6,1997,후석로186번길 25
12095,석사동,우두동,퇴계주공4,59.99,18.14689334,202304,2023,04,13,17850,403,8,1998,퇴계로 242
12096,석사동,우두동,청구,59.965,18.13933087,202304,2023,04,13,14900,105,5,1997,서부대성로 332
12097,석사동,우두동,석사근로복지,47.32,14.31423559,202304,2023,04,12,13500,109,2,1991,효석로67번길 23
12098,석사동,우두동,휴먼타운,84.89,25.67910944,202304,2023,04,12,24400,513,10,2002,지석로 29
12099,삼천동,우두동,춘천파크자이,84.9181,25.68760966,202305,2023,05,6,46500,103동,10,2020,스포츠타운길 460
12100,삼천동,우두동,춘천파크자이,74.8034,22.62792667,202304,2023,04,25,42000,104동,15,2020,스포츠타운길 460
12101,삼천동,우두동,춘천파크자이,74.8034,22.62792667,202304,2023,04,18,42000,104동,8,2020,460
12102,삼천동,우두동,춘천파크자이,64.8603,19.62015246,202304,2023,04,14,39000,107동,20,2020,스포츠타운길 460
12103,삼천동,우두동,춘천파크자이,64.8603,19.62015246,202303,2023,03,29,40000,104동,13,2020,스포츠타운길 460
12104,삼천동,우두동,춘천파크자이,84.9693,25.70309759,202303,2023,03,25,50000,107동,13,2020,스포츠타운길 460
12105,삼천동,우두동,춘천파크자이,84.9693,25.70309759,202303,2023,03,16,49200,101동,18,2020,스포츠타운길 460
12106,삼천동,우두동,춘천파크자이,84.9142,25.68642991,202303,2023,03,11,58000,101동,29,2020,스포츠타운길 460
12107,삼천동,우두동,춘천파크자이,64.8151,19.60647952,202303,2023,03,11,39000,107동,21,2020,스포츠타운길 460
12108,삼천동,우두동,춘천파크자이,74.8034,22.62792667,202303,2023,03,3,40000,102동,16,2020,스포츠타운길 460
12109,삼천동,사농동,춘천파크자이,84.9693,25.70309759,202302,2023,02,11,51000,106동,25,2020,스포츠타운길 460
12110,삼천동,사농동,춘천파크자이,84.9693,25.70309759,202302,2023,02,4,49500,102동,13,2020,스포츠타운길 460
12111,삼천동,사농동,춘천파크자이,84.9693,25.70309759,202301,2023,01,20,49900,102동,11,2020,스포츠타운길 460
12112,삼천동,사농동,춘천파크자이,84.9142,25.68642991,202211,2022,11,7,53000,-,12,2020,스포츠타운길 460
12113,삼천동,사농동,춘천파크자이,64.8603,19.62015246,202210,2022,10,28,36000,-,14,2020,스포츠타운길 460
12114,삼천동,사농동,춘천파크자이,101.941,30.83701373,202207,2022,07,30,64500,-,15,2020,스포츠타운길 460
12115,삼천동,사농동,춘천파크자이,74.8034,22.62792667,202207,2022,07,18,47200,-,20,2020,스포츠타운길 460
12116,삼천동,사농동,춘천파크자이,64.8603,19.62015246,202207,2022,07,9,42500,-,20,2020,스포츠타운길 460
12117,삼천동,사농동,춘천파크자이,74.8034,22.62792667,202206,2022,06,30,44000,-,1,2020,스포츠타운길 460
12118,칠전동,사농동,대우,59.88,18.11361849,202305,2023,05,5,14600,102,13,1999,옛경춘로 492
12119,칠전동,사농동,칠전2차대우,84.9508,25.69750136,202304,2023,04,28,19500,205,1,2002,칠전서길 15-2
12120,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202304,2023,04,17,18100,204,11,2002,칠전서길 15-2
12121,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202304,2023,04,10,16800,209,10,2002,칠전서길 15-2
12122,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202304,2023,04,6,17000,204,4,2002,칠전서길 15-2
12123,칠전동,사농동,대우,59.89,18.11664348,202304,2023,04,3,14900,101,9,1999,옛경춘로 492
12124,칠전동,사농동,칠전2차대우,84.9583,25.6997701,202303,2023,03,28,20000,203,6,2002,칠전서길 15-2
12125,칠전동,사농동,대우,60,18.14991833,202303,2023,03,23,13600,106,9,1999,옛경춘로 492
12126,칠전동,사농동,칠전2차대우,84.9508,25.69750136,202303,2023,03,17,20900,205,2,2002,칠전서길 15-2
12127,칠전동,사농동,춘천칠전사랑으로부영,59.9381,18.13119366,202303,2023,03,14,17800,105,8,2012,칠전서길 45
12128,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202303,2023,03,11,16700,204,3,2002,칠전서길 15-2
12129,칠전동,사농동,대우,59.88,18.11361849,202303,2023,03,9,14800,102,13,1999,옛경춘로 492
12130,칠전동,사농동,대우,59.89,18.11664348,202303,2023,03,3,12750,101,5,1999,옛경춘로 492
12131,칠전동,사농동,대우,59.88,18.11361849,202302,2023,02,24,13000,102,2,1999,옛경춘로 492
12132,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202302,2023,02,23,17500,209,15,2002,칠전서길 15-2
12133,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202302,2023,02,15,19300,204,12,2002,칠전서길 15-2
12134,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202302,2023,02,10,18000,204,6,2002,칠전서길 15-2
12135,칠전동,사농동,대우,60,18.14991833,202302,2023,02,8,13500,103,4,1999,옛경춘로 492
12136,칠전동,사농동,칠전2차대우,84.9583,25.6997701,202301,2023,01,31,20500,208,5,2002,칠전서길 15-2
12137,칠전동,사농동,춘천칠전사랑으로부영,59.9381,18.13119366,202301,2023,01,27,16150,101,12,2012,칠전서길 45
12138,칠전동,사농동,춘천칠전사랑으로부영,59.9381,18.13119366,202301,2023,01,25,17000,101,9,2012,칠전서길 45
12139,칠전동,사농동,춘천칠전사랑으로부영,59.9381,18.13119366,202301,2023,01,19,14500,103,2,2012,칠전서길 45
12140,칠전동,사농동,대우,59.88,18.11361849,202212,2022,12,6,13300,-,3,1999,옛경춘로 492
12141,칠전동,사농동,대우,59.89,18.11664348,202210,2022,10,30,13500,-,8,1999,옛경춘로 492
12142,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202210,2022,10,26,16000,-,3,2002,칠전서길 15-2
12143,칠전동,사농동,칠전2차대우,84.9508,25.69750136,202210,2022,10,25,20000,-,6,2002,칠전서길 15-2
12144,칠전동,사농동,칠전2차대우,84.9583,25.6997701,202210,2022,10,20,21000,-,6,2002,칠전서길 15-2
12145,칠전동,사농동,칠전2차대우,84.9583,25.6997701,202210,2022,10,17,20900,-,4,2002,칠전서길 15-2
12146,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202210,2022,10,14,16500,-,4,2002,칠전서길 15-2
12147,칠전동,사농동,대우,59.88,18.11361849,202210,2022,10,12,14300,-,7,1999,옛경춘로 492
12148,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202209,2022,09,21,16700,-,14,2002,칠전서길 15-2
12149,칠전동,사농동,춘천칠전사랑으로부영,59.9381,18.13119366,202209,2022,09,17,16900,-,10,2012,칠전서길 45
12150,칠전동,사농동,대우,59.89,18.11664348,202209,2022,09,16,13800,-,15,1999,옛경춘로 492
12151,칠전동,사농동,칠전2차대우,84.9508,25.69750136,202208,2022,08,30,20500,-,11,2002,칠전서길 15-2
12152,칠전동,사농동,대우,59.88,18.11361849,202208,2022,08,22,14800,-,9,1999,옛경춘로 492
12153,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202208,2022,08,12,15900,-,12,2002,칠전서길 15-2
12154,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202208,2022,08,12,15900,-,12,2002,칠전서길 15-2
12155,칠전동,사농동,대우,60,18.14991833,202208,2022,08,12,14000,-,8,1999,옛경춘로 492
12156,칠전동,사농동,대우,59.88,18.11361849,202208,2022,08,11,15250,-,3,1999,옛경춘로 492
12157,칠전동,사농동,칠전2차대우,84.9583,25.6997701,202208,2022,08,8,22300,-,3,2002,칠전서길 15-2
12158,칠전동,사농동,대우,59.88,18.11361849,202208,2022,08,5,12850,-,2,1999,옛경춘로 492
12159,칠전동,사농동,대우,59.89,18.11664348,202207,2022,07,30,15500,-,5,1999,옛경춘로 492
12160,칠전동,사농동,춘천칠전사랑으로부영,59.9381,18.13119366,202207,2022,07,29,16500,-,6,2012,칠전서길 45
12161,칠전동,사농동,춘천칠전사랑으로부영,59.9381,18.13119366,202207,2022,07,26,17700,-,14,2012,칠전서길 45
12162,칠전동,사농동,칠전2차대우,84.9508,25.69750136,202207,2022,07,22,20600,-,4,2002,칠전서길 15-2
12163,칠전동,사농동,대우,59.89,18.11664348,202207,2022,07,22,13900,-,6,1999,옛경춘로 492
12164,칠전동,사농동,칠전2차대우,84.9508,25.69750136,202207,2022,07,6,19800,-,15,2002,칠전서길 15-2
12165,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202206,2022,06,28,15800,-,3,2002,칠전서길 15-2
12166,칠전동,사농동,대우,59.89,18.11664348,202206,2022,06,23,14750,-,7,1999,옛경춘로 492
12167,칠전동,사농동,칠전2차대우,84.9508,25.69750136,202206,2022,06,22,18700,-,1,2002,칠전서길 15-2
12168,칠전동,사농동,대우,59.89,18.11664348,202206,2022,06,19,15300,-,13,1999,옛경춘로 492
12169,칠전동,사농동,칠전2차대우,71.7847,21.71477403,202206,2022,06,18,18000,-,12,2002,칠전서길 15-2
12170,칠전동,사농동,대우,60,18.14991833,202206,2022,06,11,13700,-,5,1999,옛경춘로 492
12171,칠전동,사농동,칠전2차대우,84.9508,25.69750136,202205,2022,05,29,19400,-,3,2002,칠전서길 15-2
12172,칠전동,사농동,대우,60,18.14991833,202205,2022,05,29,13100,-,10,1999,옛경춘로 492
12173,칠전동,사농동,춘천칠전사랑으로부영,59.9381,18.13119366,202205,2022,05,27,16700,-,4,2012,칠전서길 45
12174,칠전동,사농동,대우,59.88,18.11361849,202205,2022,05,21,14000,-,4,1999,옛경춘로 492
12175,칠전동,사농동,칠전2차대우,84.9508,25.69750136,202205,2022,05,15,20000,-,11,2002,칠전서길 15-2
12176,신북읍,사농동,소양강양우내안애,47.6264,14.40692117,202404,2024,04,17,10400,-,12,2012,신샘밭로 733
12177,신북읍,사농동,소양강양우내안애,38.1055,11.52686188,202404,2024,04,17,7900,-,7,2012,신샘밭로 733
12178,신북읍,사농동,소양강양우내안애,38.1055,11.52686188,202404,2024,04,8,8200,101,6,2012,신샘밭로 733
12179,신북읍,사농동,춘천해강,59.96,18.13781838,202403,2024,03,21,8000,-,14,1997,상천2길 52
12180,신북읍,사농동,춘천해강,37.35,11.29832416,202403,2024,03,12,6900,102,10,1997,상천2길 52
12181,신북읍,사농동,소양강양우내안애,38.1055,11.52686188,202403,2024,03,9,8200,-,14,2012,신샘밭로 733
12182,신북읍,사농동,소양강양우내안애,60.6314,18.34091597,202402,2024,02,27,10500,102,3,2012,신샘밭로 733
12183,신북읍,사농동,소양강양우내안애,38.1055,11.52686188,202402,2024,02,27,7000,101,1,2012,신샘밭로 733
12184,신북읍,사농동,춘천해강,37.35,11.29832416,202402,2024,02,18,6000,102,7,1997,상천2길 52
12185,신북읍,사농동,소양강양우내안애,47.6264,14.40692117,202401,2024,01,27,10000,101,9,2012,신샘밭로 733
12186,신북읍,사농동,소양강양우내안애,38.1055,11.52686188,202401,2024,01,20,8800,101,16,2012,신샘밭로 733
12187,신북읍,사농동,소양강양우내안애,60.6314,18.34091597,202312,2023,12,25,12900,102,7,2012,신샘밭로 733
12188,신북읍,사농동,소양강양우내안애,38.1055,11.52686188,202311,2023,11,27,7500,101,5,2012,신샘밭로 733
12189,신북읍,사농동,춘천해강,59.96,18.13781838,202311,2023,11,24,9500,101,6,1997,상천2길 52
12190,신북읍,사농동,소양강양우내안애,38.1055,11.52686188,202311,2023,11,19,7100,101,3,2012,신샘밭로 733
12191,신북읍,사농동,소양강양우내안애,47.6264,14.40692117,202311,2023,11,4,10300,101,12,2012,신샘밭로 733
12192,신북읍,사농동,소양강양우내안애,60.6314,18.34091597,202311,2023,11,1,12900,102,13,2012,신샘밭로 733
12193,신북읍,사농동,소양강양우내안애,47.6264,14.40692117,202310,2023,10,30,8900,101,5,2012,신샘밭로 733
12194,신북읍,사농동,춘천해강,59.96,18.13781838,202310,2023,10,21,10500,101,8,1997,상천2길 52
12195,신북읍,사농동,춘천해강,59.96,18.13781838,202310,2023,10,10,9400,101,5,1997,상천2길 52
12196,신북읍,사농동,소양강양우내안애,47.6264,14.40692117,202310,2023,10,4,10000,101,14,2012,신샘밭로 733
12197,신북읍,사농동,춘천해강,59.96,18.13781838,202310,2023,10,4,7500,101,16,1997,상천2길 52
12198,신북읍,후평동,춘천해강,59.96,18.13781838,202310,2023,10,3,10200,101,17,1997,상천2길 52
12199,신북읍,후평동,춘천해강,59.96,18.13781838,202309,2023,09,27,7700,101,2,1997,상천2길 52
12200,신북읍,후평동,소양강양우내안애,47.6264,14.40692117,202309,2023,09,26,9900,101,9,2012,신샘밭로 733
12201,신북읍,후평동,소양강양우내안애,38.1055,11.52686188,202309,2023,09,18,7200,101,1,2012,신샘밭로 733
12202,신북읍,후평동,소양강양우내안애,60.6314,18.34091597,202309,2023,09,7,11500,102,2,2012,신샘밭로 733
12203,신북읍,후평동,춘천해강,37.35,11.29832416,202308,2023,08,30,6450,102,14,1997,상천2길 52
12204,신북읍,후평동,소양강양우내안애,47.6264,14.40692117,202308,2023,08,21,8100,101,1,2012,신샘밭로 733
12205,신북읍,후평동,춘천해강,37.35,11.29832416,202308,2023,08,18,4800,102,1,1997,상천2길 52
12206,신북읍,후평동,춘천해강,59.96,18.13781838,202308,2023,08,5,9000,101,17,1997,상천2길 52
12207,신북읍,후평동,소양강양우내안애,47.6264,14.40692117,202307,2023,07,27,9200,101,2,2012,신샘밭로 733
12208,신북읍,후평동,춘천해강,59.96,18.13781838,202307,2023,07,24,10500,101,11,1997,상천2길 52
12209,신북읍,후평동,춘천해강,37.35,11.29832416,202307,2023,07,24,7100,102,12,1997,상천2길 52
12210,신북읍,후평동,소양강양우내안애,60.6314,18.34091597,202307,2023,07,22,13350,102,9,2012,신샘밭로 733
12211,신북읍,후평동,소양강양우내안애,38.1055,11.52686188,202307,2023,07,19,7900,101,10,2012,신샘밭로 733
12212,신북읍,후평동,소양강양우내안애,38.1055,11.52686188,202307,2023,07,13,7200,101,3,2012,신샘밭로 733
12213,신북읍,후평동,소양강양우내안애,38.1055,11.52686188,202306,2023,06,28,8400,101,17,2012,신샘밭로 733
12214,신북읍,후평동,춘천해강,59.96,18.13781838,202306,2023,06,13,8500,101,1,1997,상천2길 52
12215,신북읍,후평동,소양강양우내안애,60.6314,18.34091597,202306,2023,06,10,11000,102,6,2012,신샘밭로 733
12216,신북읍,후평동,소양강양우내안애,60.6314,18.34091597,202306,2023,06,6,13400,102,7,2012,신샘밭로 733
12217,신북읍,후평동,소양강양우내안애,38.1055,11.52686188,202306,2023,06,2,7400,101,1,2012,신샘밭로 733
12218,신북읍,후평동,소양강양우내안애,60.6314,18.34091597,202305,2023,05,26,13000,102,9,2012,신샘밭로 733
12219,신북읍,후평동,소양강양우내안애,38.1055,11.52686188,202305,2023,05,10,8000,101,12,2012,신샘밭로 733
12220,동면,후평동,그린하이츠,59.94,18.13176841,202402,2024,02,17,8500,101,5,1995,가산로 95-55
12221,동면,후평동,그린하이츠,59.94,18.13176841,202312,2023,12,6,8700,101,11,1995,가산로 95-55
12222,동면,후평동,그린하이츠,59.94,18.13176841,202311,2023,11,3,9400,101,12,1995,가산로 95-55
12223,동면,후평동,그린하이츠,59.94,18.13176841,202306,2023,06,9,8000,101,3,1995,가산로 95-55
12224,동면,후평동,대동다:숲아파트,84.6937,25.61972896,202306,2023,06,16,23500,101,4,2008,후석로326번길 63
12225,동면,후평동,대동다:숲아파트,134.622,40.72297175,202306,2023,06,8,27000,102,6,2008,후석로326번길 63
12226,동면,후평동,춘천KCC스위첸,84.972,25.70391433,202306,2023,06,4,28500,103,14,2009,만천로 69
12227,동면,후평동,한일유앤아이,84.9925,25.71011555,202306,2023,06,3,24600,104,7,2006,만천로 107
12228,동면,후평동,춘천KCC스위첸,84.972,25.70391433,202306,2023,06,1,27500,109,13,2009,만천로 69
12229,동면,후평동,춘천KCC스위첸,84.972,25.70391433,202305,2023,05,30,24800,109,6,2009,만천로 69
12230,동면,후평동,한일유앤아이,166.5906,50.39342973,202305,2023,05,17,39000,103,7,2006,만천로 107
